30712,42884;;Worst;Best;AVG;STD
28435,59334;;;;;
25767,42579;;;;;
32196,11934;;;;;
29527,16443;;;;;
28828,66349;;;;;
31560,79481;;;;;
31422,4078;;;;;
30190,23779;;;;;
30501,60735;;;;;
31420,76555;;;;;
29251,10258;;;;;
28755,67123;;;;;
29626,96638;;;;;
27519,35921;;;;;
30401,16007;;;;;
31715,56197;;;;;
28289,1066;;;;;
29730,75836;;;;;
29728,97118;;;;;
28338,63771;;;;;
28772,73478;;;;;
29168,38584;;;;;
27497,02673;;;;;
31346,53716;;;;;
30574,88248;;;;;
29513,83498;;;;;
30728,04684;;;;;
29662,16039;;;;;
30845,75535;;;;;
30991,80059;;;;;
31358,75683;;;;;
30939,2671;;;;;
31565,3602;;;;;
29485,68746;;;;;
28786,54572;;;;;
29671,0696;;;;;
32906,4888;;;;;
30947,54251;;;;;
30236,56966;;;;;
29636,11445;;;;;
32003,73219;;;;;
31513,54381;;;;;
30777,41518;;;;;
32596,70217;;;;;
28673,03362;;;;;
30765,93024;;;;;
28268,92697;;;;;
31060,77356;;;;;
26757,14858;;;;;
28843,18756;;;;;
32013,11911;;;;;
30615,81252;;;;;
31080,73903;;;;;
29229,63464;;;;;
30106,11195;;;;;
29352,35676;;;;;
27794,89831;;;;;
31705,24103;;;;;
26969,18571;;;;;
30792,72291;;;;;
31695,78893;;;;;
31229,29158;;;;;
30267,03628;;;;;
30310,35863;;;;;
29105,32914;;;;;
26732,86674;;;;;
31580,21547;;;;;
30690,40057;;;;;
30876,78795;;;;;
29378,08727;;;;;
30747,20072;;;;;
29565,40588;;;;;
29125,1291;;;;;
30490,72586;;;;;
31427,71857;;;;;
28921,35233;;;;;
27639,35744;;;;;
30554,65971;;;;;
29331,72152;;;;;
28135,55698;;;;;
32903,4602;;;;;
29001,01529;;;;;
26131,23501;;;;;
31637,61882;;;;;
27637,95591;;;;;
32076,05446;;;;;
32206,82296;;;;;
28625,04869;;;;;
26290,14595;;;;;
31857,02352;;;;;
27236,63649;;;;;
31409,23579;;;;;
31454,91926;;;;;
28803,94106;;;;;
31837,81311;;;;;
29656,45998;;;;;
31500,90625;;;;;
31615,62872;;;;;
29991,78818;;;;;
28425,49594;;;;;
30473,26613;;;;;
30668,58866;;;;;
31151,7011;;;;;
32307,10914;;;;;
28673,54873;;;;;
31851,92689;;;;;
27731,50127;;;;;
29790,2191;;;;;
30096,909;;;;;
28967,79865;;;;;
29614,24271;;;;;
29988,06747;;;;;
29486,38896;;;;;
29467,6873;;;;;
28951,34289;;;;;
27716,37124;;;;;
29568,96266;;;;;
31528,44165;;;;;
32302,25829;;;;;
30122,22413;;;;;
30060,69041;;;;;
30090,36421;;;;;
30336,67622;;;;;
27620,45519;;;;;
33501,54124;;;;;
30967,2774;;;;;
30357,83691;;;;;
27342,07224;;;;;
32680,98787;;;;;
25954,66013;;;;;
29272,66909;;;;;
32377,8722;;;;;
28129,66989;;;;;
32069,51473;;;;;
30455,69607;;;;;
30966,67047;;;;;
29421,20874;;;;;
33126,04515;;;;;
30042,55199;;;;;
30410,0695;;;;;
32024,04881;;;;;
32486,48065;;;;;
30481,30048;;;;;
30134,30353;;;;;
29492,18861;;;;;
30534,34536;;;;;
28436,89217;;;;;
28445,94228;;;;;
30607,12408;;;;;
31985,02218;;;;;
26959,25289;;;;;
31207,16762;;;;;
29346,69532;;;;;
28754,66275;;;;;
27385,78539;;;;;
30477,76513;;;;;
29547,87775;;;;;
29330,53429;;;;;
32196,62458;;;;;
30641,14072;;;;;
30933,53949;;;;;
32590,16838;;;;;
28788,85993;;;;;
28546,63408;;;;;
31565,98515;;;;;
30554,28622;;;;;
30082,1052;;;;;
31295,6136;;;;;
26876,78254;;;;;
29951,41903;;;;;
28699,69304;;;;;
29246,11986;;;;;
28945,91668;;;;;
32305,82283;;;;;
28851,77419;;;;;
30997,1618;;;;;
28919,57184;;;;;
27417,91176;;;;;
28623,73845;;;;;
30713,98357;;;;;
30155,4986;;;;;
31116,14914;;;;;
29395,50337;;;;;
27543,54533;;;;;
30922,08875;;;;;
29767,84692;;;;;
32231,71521;;;;;
30537,91742;;;;;
27826,28097;;;;;
29327,08945;;;;;
31738,34321;;;;;
29316,72993;;;;;
27895,22891;;;;;
32101,41982;;;;;
28741,02265;;;;;
29958,59918;;;;;
31523,26286;;;;;
29680,19129;;;;;
30632,36691;;;;;
29550,85062;;;;;
32186,9493;;;;;
28191,06136;;;;;
31182,57147;;;;;
31279,85826;;;;;
29611,18307;;;;;
30327,4978;;;;;
32348,8374;;;;;
30765,8972;;;;;
30599,29016;;;;;
29454,4416;;;;;
31241,87511;;;;;
30000,95208;;;;;
30112,98783;;;;;
32902,06884;;;;;
27971,06153;;;;;
22919,72156;;;;;
28318,22689;;;;;
30000,31568;;;;;
30564,78903;;;;;
27715,38934;;;;;
29292,26684;;;;;
30364,53335;;;;;
31209,65539;;;;;
30495,38421;;;;;
30603,53307;;;;;
31408,41282;;;;;
28437,51967;;;;;
28131,93936;;;;;
32890,59806;;;;;
29683,83967;;;;;
31345,8673;;;;;
29925,5451;;;;;
30953,8373;;;;;
30413,02467;;;;;
28462,22446;;;;;
28181,04059;;;;;
30537,86515;;;;;
29080,52695;;;;;
30040,1105;;;;;
29080,39754;;;;;
29659,55218;;;;;
29009,02286;;;;;
32307,11086;;;;;
28759,30465;;;;;
28185,2028;;;;;
31340,96745;;;;;
32123,08263;;;;;
30365,82892;;;;;
30444,45645;;;;;
29720,8637;;;;;
33008,45647;;;;;
29192,31932;;;;;
30186,81073;;;;;
29804,59779;;;;;
29704,71404;;;;;
